time_stemp,temperature(°C),humidity,fire_state
20250521_014616,30.7,74,0
20250521_014619,30.7,74,0
20250521_014622,30.7,74,0
20250521_014625,30.7,74,0
20250521_014628,30.7,74,0
20250521_014631,30.7,74,0
20250521_014634,30.7,74,0
20250521_014637,30.7,74,0
20250521_014640,30.7,74,0
20250521_014643,30.7,74,0
20250521_014646,30.7,74,0
20250521_014649,30.7,74,0
20250521_014652,30.7,74,0
20250521_014655,30.7,74,0
20250521_014658,30.8,74,0
20250521_014701,30.8,74,0
20250521_014704,30.8,74,0
20250521_014707,30.8,74,0
20250521_014710,30.8,74,0
20250521_014713,30.8,74,0
20250521_014716,30.8,74,0
20250521_014719,30.8,74,0
20250521_014722,30.8,74,0
20250521_014725,30.8,74,0
20250521_014728,30.7,74,0
20250521_014731,30.8,74,0
20250521_014734,30.8,74,0
20250521_014737,30.8,74,0
20250521_014740,30.8,74,0
20250521_014743,30.8,74,0
20250521_014746,30.8,74,0
20250521_014749,30.8,74,0
20250521_014752,30.7,74,0
20250521_014755,30.7,74,0
20250521_014758,30.7,74,0
20250521_014801,30.7,74,0
20250521_014804,30.7,74,0
20250521_014807,30.7,74,0
20250521_014810,30.7,74,0
20250521_014813,30.7,74,0
20250521_014816,30.7,74,0
20250521_014819,30.7,74,0
20250521_014822,30.7,74,0
20250521_014825,30.7,74,0
20250521_014828,30.7,74,0
20250521_014831,30.7,74,0
20250521_014834,30.6,74,0
20250521_014837,30.7,74,0
20250521_014840,30.7,74,0
20250521_014843,30.6,74,0
20250521_014846,30.6,74,0
20250521_014849,30.6,74,0
20250521_014852,30.6,74,0
20250521_014855,30.6,74,0
20250521_014858,30.6,74,0
20250521_014901,30.6,74,0
20250521_014904,30.6,74,0
20250521_014907,30.6,74,0
20250521_014910,30.6,74,0
20250521_014913,30.6,74,0
20250521_014916,30.6,74,0
20250521_014919,30.6,74,0
20250521_014922,30.6,74,0
20250521_014925,30.6,74,0
20250521_014928,30.6,74,0
20250521_014931,30.6,74,0
20250521_014934,30.6,74,0
20250521_014937,30.6,74,0
20250521_014940,30.6,74,0
20250521_014943,30.6,74,0
20250521_014946,30.6,74,0
20250521_014949,30.6,74,0
20250521_014952,30.6,74,0
20250521_014955,30.6,74,0
20250521_014958,30.6,74,0
20250521_015001,30.6,74,0
20250521_015004,30.6,74,0
20250521_015007,30.6,74,0
20250521_015010,30.6,74,0
20250521_015013,30.6,74,0
20250521_015016,30.6,74,0
20250521_015019,30.6,74,0
20250521_015022,30.6,74,0
20250521_015025,30.6,74,0
20250521_015028,30.6,74,0
20250521_015031,30.6,74,0
20250521_015034,30.6,74,0
20250521_015037,30.6,74,0
20250521_015040,30.6,74,0
